"","radio_tv_act % oui","bulletins"
"ZH",47.9313854778297,398866
"BE",49.3374548984027,284358
"LU",49.7805522040952,114378
"UR",44.1505488761108,9565
"SZ",40.3156182865862,49807
"OW",40.9573213864655,12723
"NW",43.2162144142943,14999
"GL",45.3695458593054,8984
"ZG",43.4717933692443,44369
"FR",54.9588056742861,80715
"SO",48.7069505758491,71807
"BS",51.1915089986156,54175
"BL",45.7738790433149,78772
"SH",43.3345599304185,29893
"AR",42.4651321011453,17638
"AI",40.4536862003781,4232
"SG",48.6291280232086,133054
"GR",50.8472040396484,53470
"AG",47.0303976889066,170309
"TG",45.4660997715271,66091
"TI",47.9934768010744,93819
"VD",62.4934265097342,184453
"VS",46.4613288794752,107173
"NE",59.6015351084999,42212
"GE",61.8582770867035,107562
"JU",58.5635640738098,19618
