"","student_grants % oui","bulletins"
"ZH",26.6312592899593,390879
"BE",26.6911351128135,280906
"LU",22.0744045248148,112977
"UR",20.8288712786464,9338
"SZ",17.5282222041744,49252
"OW",15.3115774355701,12533
"NW",16.0563760199609,14829
"GL",20.8608517422,8782
"ZG",18.3716027315642,43638
"FR",29.940269725391,79859
"SO",25.9242605213237,71165
"BS",33.9431582909844,53130
"BL",26.4957375689892,77186
"SH",28.7918536416983,28970
"AR",21.2676944237492,17449
"AI",13.0198487712665,4232
"SG",22.0273926790709,131568
"GR",22.7709347846844,52365
"AG",22.8107252140161,167978
"TG",21.0567317386124,65466
"TI",29.1225489665913,92461
"VD",38.1015633541052,182940
"VS",26.7803476376655,106145
"NE",42.0892955256683,41861
"GE",42.2414277420925,106798
"JU",38.3704626888923,19257
