,Contre la construction de minarets (29 11 2009),Pour le renvoi des étrangers criminels (28 11 2010),Contre l'immigration de masse (09 2 2014),Ecopop (30 11 2014),dsi
Zurich,51.8,50.8,47.3,24.3,35.0130778273
Berne,60.8,53.7,51.1,25.1,40.1408039524
Lucerne,61.2,55.9,53.3,29.6,43.7431108138
Uri,63.8,61.3,58.2,30,51.573926868
Schwytz,66.3,66.3,63.1,34.2,53.9163303587
Obwald,62.4,60.3,59.1,32.6,52.5358235389
Nidwald,62.8,60.8,58.8,29.2,50.6450307907
Glaris,68.8,60.8,59.4,30.8,48.7355562892
Zoug,56.7,55,49.9,24.4,42.6306326983
Fribourg,55.9,48.6,48.5,25.5,40.9281538935
Soleure,64,58.1,54.6,30.4,42.9980362591
Bâle-Ville,48.4,43.4,39,23.8,29.8303687751
Bâle-Campagne,59.9,53.5,50.6,26,40.1826133661
Schaffhouse,63.5,56.3,58.1,31.8,45.0901485266
Appenzell Rh.-E.,63.7,56,54.4,30,44.6876585118
Appenzell Rh.-I.,71.4,65.7,63.5,30.8,54.2802416384
Saint-Gall,65.9,59.6,55.9,30.4,45.8951618207
Grisons,58.6,52.6,50.6,22.5,41.8414946585
Argovie,64,57.3,55.2,29.4,44.3052965592
Thurgovie,67.7,61.1,57.8,30.9,47.1508840351
Tessin,68.3,61.3,68.2,36.9,59.4176704088
Vaud,46.9,41.8,38.9,17.3,33.4066059442
Valais,58,51.8,48.3,21.3,45.0119960902
Neuchâtel,49.3,44,39.3,21.8,34.7039861624
Genève,40.3,44.2,39.1,21.4,35.4640846459
Jura,51.2,42.7,44.1,22.8,39.6716681377
SUISSE,57.5,52.9,50.3,25.9,41.1
